Date_dd_mm_yyyy,Distance_mm,Height_cm
05032021,68.04,7.416
05032021,68.23,7.421
05032021,68.42,7.422
05032021,68.605,7.418
05032021,68.795,7.417
05032021,68.98,7.417
05032021,69.17,7.421
05032021,69.36,7.418
05032021,69.545,7.417
05032021,69.735,7.417
05032021,69.92,7.417
05032021,70.11,7.417
05032021,70.3,7.421
05032021,70.485,7.422
05032021,70.675,7.422
05032021,70.86,7.418
05032021,71.05,7.421
05032021,71.24,7.418
05032021,71.425,7.417
05032021,71.615,7.42
05032021,71.8,7.422
05032021,71.99,7.426
05032021,72.18,7.42
05032021,72.365,7.42
05032021,72.555,7.429
05032021,72.74,7.424
05032021,72.93,7.429
05032021,73.12,7.424
05032021,73.305,7.425
05032021,73.495,7.427
05032021,73.68,7.423
05032021,73.87,7.426
05032021,74.06,7.427
05032021,74.245,7.427
05032021,74.435,7.43
05032021,74.62,7.432
05032021,74.81,7.428
05032021,75,7.423
05032021,75.185,7.425
05032021,75.375,7.427
05032021,75.56,7.43
05032021,75.75,7.428
05032021,75.94,7.427
05032021,76.125,7.431
05032021,76.315,7.432
05032021,76.5,7.432
05032021,76.69,7.432
05032021,76.88,7.432
05032021,77.065,7.436
05032021,77.255,7.44
05032021,77.44,7.437
05032021,77.63,7.437
05032021,77.82,7.441
05032021,78.005,7.441
05032021,78.195,7.445
05032021,78.38,7.446
05032021,78.57,7.451
05032021,78.76,7.451
05032021,78.945,7.455
05032021,79.135,7.46
05032021,79.32,7.461
05032021,79.51,7.461
05032021,79.7,7.465
05032021,79.885,7.469
05032021,80.075,7.474
05032021,80.26,7.48
05032021,80.45,7.48
05032021,80.64,7.484
05032021,80.825,7.489
05032021,81.015,7.49
05032021,81.2,7.498
05032021,81.39,7.5
05032021,81.58,7.504
05032021,81.765,7.505
05032021,81.955,7.509
05032021,82.14,7.51
05032021,82.33,7.513
05032021,82.52,7.526
05032021,82.705,7.529
05032021,82.895,7.525
05032021,83.08,7.528
05032021,83.27,7.534
05032021,83.46,7.534
05032021,83.645,7.538
05032021,83.835,7.543
05032021,84.02,7.544
05032021,84.21,7.549
05032021,84.4,7.545
05032021,84.585,7.548
05032021,84.775,7.549
05032021,84.96,7.553
05032021,85.15,7.549
05032021,85.34,7.553
05032021,85.525,7.545
05032021,85.715,7.544
05032021,85.9,7.54
05032021,86.09,7.544
05032021,86.28,7.544
05032021,86.465,7.544
05032021,86.655,7.544
05032021,86.84,7.535
05032021,87.03,7.53
05032021,87.22,7.525
05032021,87.405,7.521
05032021,87.595,7.52
05032021,87.78,7.524
05032021,87.97,7.517
05032021,88.16,7.524
05032021,88.345,7.52
05032021,88.535,7.524
05032021,88.72,7.52
05032021,88.91,7.52
05032021,89.1,7.516
05032021,89.285,7.515
05032021,89.475,7.511
05032021,89.66,7.501
05032021,89.85,7.5
05032021,90.04,7.5
05032021,90.225,7.496
05032021,90.415,7.491
05032021,90.6,7.487
05032021,90.79,7.481
05032021,90.98,7.48
05032021,91.165,7.48
05032021,91.355,7.485
05032021,91.54,7.485
05032021,91.73,7.477
05032021,91.92,7.476
05032021,92.105,7.471
05032021,92.295,7.471
05032021,92.48,7.466
05032021,92.67,7.462
05032021,92.86,7.452
05032021,93.045,7.455
05032021,93.235,7.456
05032021,93.42,7.456
05032021,93.61,7.461
05032021,93.8,7.461
05032021,93.985,7.465
05032021,94.175,7.466
05032021,94.36,7.461
05032021,94.55,7.469
05032021,94.74,7.466
05032021,94.925,7.47
05032021,95.115,7.466
05032021,95.3,7.466
05032021,95.49,7.462
05032021,95.68,7.465
05032021,95.865,7.457
05032021,96.055,7.46
05032021,96.24,7.456
05032021,96.43,7.452
05032021,96.62,7.451
05032021,96.805,7.455
05032021,96.995,7.452
05032021,97.18,7.455
05032021,97.37,7.449
05032021,97.56,7.454
05032021,97.745,7.447
05032021,97.935,7.454
05032021,98.12,7.447
05032021,98.31,7.451
05032021,98.5,7.455
05032021,98.685,7.451
05032021,98.875,7.451
05032021,99.06,7.456
05032021,99.25,7.452
05032021,99.44,7.451
05032021,99.625,7.456
05032021,99.815,7.451
05032021,100,7.451
05032021,100.19,7.451
05032021,100.38,7.456
05032021,100.565,7.452
05032021,100.755,7.451
05032021,100.94,7.451
05032021,101.13,7.456
05032021,101.32,7.456
05032021,101.505,7.456
05032021,101.695,7.452
05032021,101.88,7.451
05032021,102.07,7.451
05032021,102.26,7.451
05032021,102.445,7.451
05032021,102.635,7.451
05032021,102.82,7.451
05032021,103.01,7.456
05032021,103.2,7.456
05032021,103.385,7.456
05032021,103.575,7.456
05032021,103.76,7.452
05032021,103.95,7.451
05032021,104.14,7.451
05032021,104.325,7.456
05032021,104.515,7.452
05032021,104.7,7.451
05032021,104.89,7.456
05032021,105.08,7.456
05032021,105.265,7.456
05032021,105.455,7.456
05032021,105.64,7.456
05032021,105.83,7.46
05032021,106.02,7.456
05032021,106.205,7.46
05032021,106.395,7.456
05032021,106.58,7.46
05032021,106.77,7.461
05032021,106.96,7.461
05032021,107.145,7.457
05032021,107.335,7.461
05032021,107.52,7.461
05032021,107.71,7.456
05032021,107.9,7.465
05032021,108.085,7.461
05032021,108.275,7.466
05032021,108.46,7.462
05032021,108.65,7.461
05032021,108.84,7.465
05032021,109.025,7.466
05032021,109.215,7.466
05032021,109.4,7.471
05032021,109.59,7.475
05032021,109.78,7.476
05032021,109.965,7.476
05032021,110.155,7.48
05032021,110.34,7.48
05032021,110.53,7.48
05032021,110.72,7.49
05032021,110.905,7.486
05032021,111.095,7.495
05032021,111.28,7.491
05032021,111.47,7.495
05032021,111.66,7.491
05032021,111.845,7.49
05032021,112.035,7.495
05032021,112.22,7.495
05032021,112.41,7.491
05032021,112.6,7.49
05032021,112.785,7.49
05032021,112.975,7.49
05032021,113.16,7.494
05032021,113.35,7.49
05032021,113.54,7.495
05032021,113.725,7.495
05032021,113.915,7.491
05032021,114.1,7.49
05032021,114.29,7.49
05032021,114.48,7.495
05032021,114.665,7.495
05032021,114.855,7.495
05032021,115.04,7.495
05032021,115.23,7.495
05032021,115.42,7.499
05032021,115.605,7.5
05032021,115.795,7.5
05032021,115.98,7.5
05032021,116.17,7.5
05032021,116.36,7.5
05032021,116.545,7.504
05032021,116.735,7.509
05032021,116.92,7.514
05032021,117.11,7.51
05032021,117.3,7.51
05032021,117.485,7.5
05032021,117.675,7.5
05032021,117.86,7.5
05032021,118.05,7.495
05032021,118.24,7.491
05032021,118.425,7.495
05032021,118.615,7.495
05032021,118.8,7.49
05032021,118.99,7.495
05032021,119.18,7.49
05032021,119.365,7.486
05032021,119.555,7.486
05032021,119.74,7.49
05032021,119.93,7.49
05032021,120.12,7.49
05032021,120.305,7.5
05032021,120.495,7.5
05032021,120.68,7.5
05032021,120.87,7.5
05032021,121.06,7.5
05032021,121.245,7.496
05032021,121.435,7.5
05032021,121.62,7.496
05032021,121.81,7.495
05032021,122,7.495
05032021,122.185,7.495
05032021,122.375,7.491
05032021,122.56,7.495
05032021,122.75,7.491
05032021,122.94,7.495
05032021,123.125,7.495
05032021,123.315,7.49
05032021,123.5,7.485
05032021,123.69,7.485
05032021,123.88,7.49
05032021,124.065,7.49
05032021,124.255,7.49
05032021,124.44,7.49
05032021,124.63,7.49
05032021,124.82,7.49
05032021,125.005,7.49
05032021,125.195,7.49
05032021,125.38,7.486
05032021,125.57,7.49
05032021,125.76,7.485
05032021,125.945,7.485
05032021,126.135,7.485
05032021,126.32,7.485
05032021,126.51,7.485
05032021,126.7,7.481
05032021,126.885,7.485
05032021,127.075,7.481
05032021,127.26,7.485
05032021,127.45,7.485
05032021,127.64,7.486
05032021,127.825,7.49
05032021,128.015,7.485
05032021,128.2,7.486
05032021,128.39,7.49
05032021,128.58,7.491
05032021,128.765,7.5
05032021,128.955,7.505
05032021,129.14,7.505
05032021,129.33,7.51
05032021,129.52,7.51
05032021,129.705,7.515
05032021,129.895,7.515
05032021,130.08,7.52
05032021,130.27,7.524
05032021,130.46,7.525
05032021,130.645,7.529
05032021,130.835,7.525
05032021,131.02,7.529
05032021,131.21,7.52
05032021,131.4,7.52
05032021,131.585,7.519
05032021,131.775,7.515
05032021,131.96,7.519
05032021,132.15,7.515
05032021,132.34,7.509
05032021,132.525,7.505
05032021,132.715,7.49
05032021,132.9,7.49
05032021,133.09,7.485
05032021,133.28,7.485
05032021,133.465,7.49
05032021,133.655,7.485
05032021,133.84,7.48
05032021,134.03,7.48
05032021,134.22,7.485
05032021,134.405,7.481
05032021,134.595,7.485
05032021,134.78,7.481
05032021,134.97,7.48
05032021,135.16,7.48
05032021,135.345,7.485
05032021,135.535,7.481
05032021,135.72,7.485
05032021,135.91,7.476
05032021,136.1,7.476
05032021,136.285,7.476
05032021,136.475,7.476
05032021,136.66,7.476
05032021,136.85,7.476
05032021,137.04,7.476
05032021,137.225,7.48
05032021,137.415,7.476
05032021,137.6,7.477
05032021,137.79,7.485
05032021,137.98,7.476
05032021,138.165,7.476
05032021,138.355,7.476
05032021,138.54,7.476
05032021,138.73,7.48
05032021,138.92,7.476
05032021,139.105,7.476
05032021,139.295,7.476
05032021,139.48,7.476
05032021,139.67,7.476
05032021,139.86,7.476
05032021,140.045,7.48
05032021,140.235,7.48
05032021,140.42,7.476
05032021,140.61,7.48
05032021,140.8,7.48
05032021,140.985,7.476
05032021,141.175,7.481
05032021,141.36,7.485
05032021,141.55,7.485
05032021,141.74,7.485
05032021,141.925,7.481
05032021,142.115,7.485
05032021,142.3,7.481
05032021,142.49,7.485
05032021,142.68,7.481
05032021,142.865,7.485
05032021,143.055,7.477
05032021,143.24,7.485
05032021,143.43,7.48
05032021,143.62,7.48
05032021,143.805,7.485
05032021,143.995,7.485
05032021,144.18,7.485
05032021,144.37,7.485
05032021,144.56,7.48
05032021,144.745,7.48
05032021,144.935,7.485
05032021,145.12,7.48
05032021,145.31,7.48
05032021,145.5,7.481
05032021,145.685,7.485
05032021,145.875,7.48
05032021,146.06,7.48
05032021,146.25,7.48
05032021,146.44,7.48
05032021,146.625,7.48
05032021,146.815,7.48
05032021,147,7.485
05032021,147.19,7.485
05032021,147.38,7.481
05032021,147.565,7.48
05032021,147.755,7.48
05032021,147.94,7.481
05032021,148.13,7.485
05032021,148.32,7.485
05032021,148.505,7.48
05032021,148.695,7.485
05032021,148.88,7.481
05032021,149.07,7.485
05032021,149.26,7.485
05032021,149.445,7.485
05032021,149.635,7.481
05032021,149.82,7.485
05032021,150.01,7.485
05032021,150.2,7.485
05032021,150.385,7.485
05032021,150.575,7.49
05032021,150.76,7.49
05032021,150.95,7.49
05032021,151.14,7.49
05032021,151.325,7.491
05032021,151.515,7.495
05032021,151.7,7.486
05032021,151.89,7.49
05032021,152.08,7.49
05032021,152.265,7.49
05032021,152.455,7.485
05032021,152.64,7.485
05032021,152.83,7.49
05032021,153.02,7.49
05032021,153.205,7.495
05032021,153.395,7.495
05032021,153.58,7.49
05032021,153.77,7.49
05032021,153.96,7.487
05032021,154.145,7.495
05032021,154.335,7.49
05032021,154.52,7.49
05032021,154.71,7.49
05032021,154.9,7.49
05032021,155.085,7.49
05032021,155.275,7.49
05032021,155.46,7.49
05032021,155.65,7.487
05032021,155.84,7.495
05032021,156.025,7.495
05032021,156.215,7.491
05032021,156.4,7.499
05032021,156.59,7.495
05032021,156.78,7.495
05032021,156.965,7.495
05032021,157.155,7.494
05032021,157.34,7.49
