Sample_ID,Region,Mg,Al,Si,P,S,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ag,Cd,Sn,Sb,Ba,La,Ce,Pr,Nd,W,Hg,Pb,Bi,Th,U
15,Faroes,0,0,356,7632,18616,13673,533,85,0,0,48,47,0,0,5,30,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,10
15,Faroes,4467,0,441,7666,18128,13608,528,109,0,0,53,48,3,0,5,31,0,0,1,4,0,0,0,2,0,0,0,0,22,0,39,61,0,0,0,0,0,37,10
15,Faroes,4930,0,430,7670,18694,13693,527,86,0,0,49,52,3,0,5,31,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,38,9
16,Faroes,4986,652,572,5094,13429,5361,1513,829,0,0,137,57,0,0,9,27,0,0,0,4,0,0,0,0,0,0,0,0,24,32,0,0,0,0,0,0,0,40,11
16,Faroes,0,692,679,5125,13452,5344,1510,819,0,0,145,62,0,0,7,27,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,11
16,Faroes,3601,605,692,5124,13527,5415,1490,824,0,0,138,61,0,0,8,28,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,11
17,Faroes,4237,0,464,5693,16919,9838,696,669,0,0,82,44,4,0,4,36,0,0,1,5,0,0,0,0,0,0,0,0,22,25,34,59,96,0,0,0,0,39,11
17,Faroes,4655,0,421,5715,16559,9838,691,748,0,0,81,45,5,0,5,36,0,0,2,5,0,0,0,2,0,0,0,0,19,0,0,0,0,0,0,0,0,40,10
17,Faroes,4312,627,455,5701,16529,9791,707,724,0,0,83,43,3,0,4,37,0,0,1,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,40,10
17,Faroes,6986,625,483,5834,13733,7992,1005,1130,0,0,124,55,5,0,6,38,0,0,1,5,0,0,0,3,0,0,0,0,24,29,0,0,0,0,0,0,0,41,11
17,Faroes,4939,0,522,5881,13727,8019,1019,1096,0,0,123,51,0,0,4,36,0,0,2,6,0,0,0,2,0,0,0,0,0,28,0,66,0,0,0,0,0,42,11
17,Faroes,5380,0,613,5900,13845,8043,1021,1122,0,0,119,49,4,0,4,36,0,0,2,6,0,0,0,2,0,0,0,0,0,0,36,60,0,0,0,0,0,42,10
